Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
610,0,-1,-2,-2,-2,0,-1,0,0
615,1,-3,-1,0,-1,-1,-1,0,0
620,-2,-1,-2,0,-1,0,-2,-2,0
625,-1,-2,-2,-1,-2,-2,1,0,0
630,-2,-1,-1,-2,0,-1,-3,0,0
635,-1,-2,0,-2,-2,0,-4,-1,0
640,-1,-1,-1,0,-2,-5,-2,-1,0
645,-1,0,-2,-1,-1,-1,0,-1,0
650,-2,-1,0,1,-1,-2,2,0,0
655,-1,-1,-1,0,-2,-1,-2,-1,0
660,-1,-1,0,-2,1,-1,0,-1,0
665,0,-1,0,-1,-1,-1,-2,-1,0
670,0,-2,-1,-1,-2,-2,-1,0,0
675,-1,-2,0,0,-1,-1,0,0,0
680,-2,-2,-1,-2,-1,1,-1,0,0
685,-1,0,-1,-2,-1,-2,-1,-1,0
690,-1,-1,0,1,-1,0,-2,-2,0
695,-1,-2,-2,-2,-1,0,-1,0,0
700,-1,-1,0,0,-1,0,0,0,0
705,-2,-2,-1,-1,-1,0,-2,-2,0
710,-2,-1,-2,-2,-2,-1,-1,-1,0
715,1,0,0,0,-1,-2,2,-1,0
720,-1,-2,-2,-2,-1,-2,0,-1,0
725,0,-1,-1,1,-1,0,-2,0,0
730,1,-2,-2,-2,0,-2,-2,-3,0
735,0,-2,-1,0,0,-1,-2,-2,0
740,-2,-2,-1,-2,0,-1,0,-2,0
745,-1,-1,1,0,-2,-2,0,-1,0
750,-1,-1,-2,-3,-1,0,-1,-1,0
755,-2,1,-1,-3,-1,-1,-1,-1,0
760,0,-1,0,-2,-1,-1,-2,-1,0
765,-1,-2,-2,-1,-1,-1,-2,-1,0
770,0,0,-1,0,1,-2,-3,0,0
775,-2,-2,-2,0,-2,-2,0,-3,0
780,0,0,-3,0,-1,-1,0,-2,0
785,-1,-1,-1,-4,-2,-1,-1,-2,0
790,-2,-3,-1,-1,-2,1,-3,1,0
795,-2,-2,-1,-3,-1,-1,0,-1,0
800,-1,-1,-1,-2,-3,-2,0,-2,0
805,-3,-1,-2,-1,-1,-2,-2,-2,0
810,-3,-1,-1,0,-1,-2,-2,-1,0
815,-1,0,-1,0,0,-2,-3,-2,0
820,0,-1,0,0,-1,-1,-2,0,0
825,-1,-1,-1,-1,-1,-1,-2,-3,0
830,-2,-2,-1,-2,-2,-2,0,-2,0
835,-1,0,-1,0,-2,1,0,0,0
840,-1,-2,-3,-3,-1,-4,-3,-2,0
845,-1,-1,0,-1,-1,-1,2,-1,0
850,0,-1,-3,0,0,-1,0,-2,0
855,-3,-1,1,0,-1,-2,-2,-1,0
860,-2,0,0,1,-1,-2,-2,-1,0
865,-1,-1,-1,-1,-1,-2,-1,-1,0
870,-1,0,0,0,0,-2,0,-2,0
875,-1,1,-1,0,-2,0,-1,-1,0
880,0,-2,-1,-1,0,1,-1,-1,0
885,-1,-1,0,0,-1,-1,0,0,0
890,0,-1,-1,-3,-2,-2,-1,-1,0
895,1,1,-2,-2,-1,0,-1,-1,0
900,-2,-3,-2,-1,-1,-1,-1,0,0
905,0,-1,-3,0,1,-1,0,1,0
910,0,-3,-1,-1,-1,0,-3,-3,0
915,-1,-1,0,-1,0,-1,-2,-3,0
920,-2,-1,-1,-2,-1,0,-2,-2,0
925,-1,-2,-2,-1,-1,-1,-2,-2,0
930,-1,-2,-1,-2,-2,0,1,0,0
935,0,-2,-1,-1,-1,-2,0,0,0
940,-1,1,-1,-3,-2,0,-1,-1,0
945,-1,0,1,-2,-1,-2,-2,-1,0
950,-1,0,-3,-2,0,-1,-1,-2,0
955,0,-1,-2,-1,-2,-2,-1,-1,0
960,1,-1,-1,-1,0,-2,-2,1,0
965,0,-1,1,0,1,-1,-2,-1,0
970,-2,0,-1,0,-2,-2,-4,0,0
975,-1,0,-1,0,0,-2,0,0,0
980,-2,-1,0,1,-2,-1,-2,-2,0
985,-1,-1,-2,-2,-1,0,0,-1,0
990,-2,-1,-1,-1,0,0,1,-1,0
995,-2,-3,0,-1,0,0,1,-1,0
1000,0,-2,-2,-2,-1,-2,0,-2,0
1005,-2,-1,0,-2,-2,-2,-1,-1,0
1010,-1,-1,1,0,-2,0,0,-3,0
1015,1,1,-2,-2,0,-1,-3,-1,0
1020,2,-1,-1,-1,-1,1,0,0,0
1025,2,-4,-2,-2,-1,0,0,1,0
1030,-2,2,1,-1,-1,-1,-5,-1,0
1035,-3,0,0,1,0,0,-1,-1,0
1040,-2,-2,-2,-2,-3,-2,-1,-2,0
1045,0,0,-1,-1,-2,0,-1,0,0
1050,-2,-2,-2,-2,-2,-2,-1,-2,0
1055,-3,0,-2,-1,-1,-1,-5,-1,0
1060,-3,-5,-3,0,-1,0,-3,-2,0
1065,-3,-7,-3,-2,-2,-3,-1,-3,0
1070,6,17,4,1,1,1,2,0,0
1075,-10,-2,0,-1,-1,-1,1,-3,0
1080,2,-1,-1,0,0,1,2,-1,0
1085,0,-1,-4,-1,-1,1,0,0,0
1090,-5,-10,-2,-1,-2,-2,-1,-3,0
1095,1,-6,-2,-2,-1,-1,-1,1,0
1100,0,18,2,0,-2,-2,-3,-1,0
1105,-3,-2,-1,-2,-1,-1,-2,0,0
1110,1,-2,-1,-1,-2,0,0,-3,0
1115,-6,-2,0,-2,-1,-1,-2,-2,0
1120,-6,-9,-3,-3,0,-2,-1,-1,0
1125,3,2,0,-1,-2,-2,-5,-2,0
1130,-3,-3,-2,0,0,-1,-2,0,0
1135,3,-5,-1,0,-3,-1,-2,-1,0
1140,2,-2,-2,0,0,-1,-2,-1,0
1145,-2,4,0,1,-1,-1,-1,-3,0
1150,-4,-4,-2,-1,-1,-1,-1,-2,0
1155,18,-3,-5,-3,-1,1,2,0,0
1160,-12,3,2,1,1,-1,2,-3,0
1165,4,0,0,-2,-1,-1,0,0,0
1170,-7,-6,-4,-1,-3,-1,-2,-3,0
1175,16,8,2,1,0,-2,0,3,0
1180,5,0,-3,-1,-1,0,-2,0,0
1185,-10,2,2,0,-1,-1,-1,-3,0
1190,14,-1,-2,-2,-1,0,-3,2,0
1195,-7,-1,-4,-1,-1,-1,-4,-4,0
1200,-1,-5,-2,-3,-1,1,1,1,0
1205,0,2,-1,0,-1,0,-1,-1,0
1210,-2,-2,-1,0,-1,-2,-2,0,0
1215,-8,-1,0,-2,-1,-1,0,-2,0
1220,1,-2,-1,0,-1,-1,-1,1,0
1225,-3,-2,-2,-4,-2,0,0,-2,0
1230,-4,-3,-1,-1,-2,-3,1,-3,0
1235,-1,0,-2,0,-1,0,1,0,0
1240,-2,2,1,-1,-1,0,2,-3,0
1245,2,0,-2,1,0,-1,1,0,0
1250,-3,0,-1,-4,-1,-2,0,0,0
1255,-8,0,-1,-2,-1,-2,-2,-3,0
1260,0,-2,-2,0,-1,-2,-4,-3,0
1265,-2,-4,-2,-1,-2,-1,-3,0,0
1270,0,-1,-1,0,0,-1,-2,0,0
1275,-8,-1,-1,0,-3,-2,-1,-4,0
1280,1,-2,-1,-2,-1,-1,-2,0,0
1285,-2,-3,-3,-2,-1,-1,-2,-4,0
1290,-5,-3,-1,-2,0,1,0,-1,0
1295,3,2,0,-1,-1,-1,0,1,0
1300,0,1,-1,0,-2,0,-4,0,0
1305,-3,-1,-2,0,-2,-1,-2,-1,0
1310,4,-1,-1,-1,-2,-2,-2,-2,0
1315,0,-5,1,-1,-1,1,1,-1,0
1320,-1,-3,0,-1,-1,-2,1,-2,0
1325,-1,-1,-3,-2,0,0,0,0,0
1330,-2,-2,0,0,-1,0,-1,-2,0
1335,-3,-1,-1,-1,-2,-2,-1,-3,0
1340,-1,-1,0,-1,-1,-2,-1,0,0
1345,2,-2,-2,0,-2,0,0,0,0
1350,-4,-1,-1,-2,0,-1,1,-2,0
1355,-4,0,-1,-2,-2,-3,-1,-2,0
1360,1,-2,-2,0,-2,0,-2,-2,0
1365,0,-1,0,-1,0,-2,-2,0,0
1370,-3,0,-1,0,-2,-1,0,1,0
1375,1,0,-3,-2,1,-1,0,2,0
1380,-2,-1,-3,-3,-1,-3,2,-1,0
1385,0,-1,1,0,0,-2,0,-1,0
1390,1,-5,-2,0,0,0,-2,0,0
1395,-1,5,-1,-1,-1,-1,-3,0,0
1400,-1,-2,-1,-1,-1,-2,-2,-1,0
1405,0,0,-1,0,-1,-2,-2,-2,0
1410,0,-1,-1,-1,-1,-3,-1,-1,0
1415,-1,-5,-1,-1,-1,-1,0,-2,0
1420,0,0,0,0,1,0,-1,1,0
1425,-1,-1,-1,-1,-1,-2,-2,-2,0
1430,-1,0,-1,-1,0,0,0,2,0
1435,-2,-3,-4,-2,-3,-2,-1,-3,0
1440,2,2,1,0,1,0,2,3,0
1445,-1,-2,1,-1,0,0,0,-1,0
1450,-1,1,0,0,0,-2,-4,-1,0
1455,0,-2,-1,-1,0,1,0,0,0
1460,-2,-1,-2,-2,-1,-1,0,-2,0
1465,-2,-1,-3,-3,-1,-1,-2,0,0
1470,-2,-1,0,-2,-3,0,0,0,0
1475,-1,0,-1,-2,-1,-2,0,-3,0
1480,-2,-2,-3,-2,-1,-2,-1,-1,0
1485,2,-2,-2,-1,-1,-1,0,-1,0
1490,-1,-2,-1,-1,-1,-1,-2,-2,0
1495,0,-2,-1,-1,0,1,-2,0,0
1500,0,-1,-1,-2,-2,0,0,0,0
1505,-2,1,-2,-1,1,0,0,-2,0
1510,0,0,-1,-1,-1,-2,2,-2,0
1515,-1,0,-1,0,-1,-2,-2,-1,0
1520,-2,-1,-1,-1,-3,0,-3,-1,0
1525,-2,0,-1,-2,-2,0,-1,0,0
1530,-1,0,-1,0,-1,0,-1,0,0
1535,0,-1,-1,0,-2,0,0,-2,0
1540,-1,0,-1,-2,-2,-1,-3,-3,0
1545,-3,0,-1,-1,-3,-2,0,-1,0
1550,-3,0,-3,-1,-3,0,-2,-1,0
1555,-3,-2,-1,-1,-2,-1,-2,-1,0
1560,1,-1,0,-1,2,1,-1,2,0
1565,1,-4,0,0,-1,-2,0,0,0
1570,-3,-1,-1,-1,0,-2,0,-2,0
1575,1,2,-2,-3,-1,-1,0,1,0
1580,-8,-2,-1,-2,-4,-3,-6,-6,0
1585,10,9,2,3,6,7,4,8,0
1590,1,-1,-2,-1,0,1,-2,0,0
1595,-3,-5,-2,-2,-1,-2,-2,-2,0
1600,-1,0,-1,0,-1,0,-3,0,0
1605,-4,-2,0,-3,-3,-4,-1,-4,0
1610,-2,-2,-1,0,0,-2,-1,-1,0
1615,2,0,0,0,0,1,1,-1,0
1620,1,-3,0,-2,-1,0,1,0,0
1625,-3,-4,-4,-1,-2,-1,-2,-4,0
1630,0,1,1,-1,-2,-1,1,1,0
1635,-2,-2,-1,-2,-1,-1,-3,-2,0
1640,-1,-1,-1,-1,1,-2,1,1,0
1645,-3,-3,-1,-2,-4,-4,-4,-4,0
1650,1,1,-1,1,3,-1,2,-1,0
1655,0,0,0,1,-1,1,-1,2,0
1660,-1,-1,-3,-2,-2,-1,-2,-2,0
1665,-1,1,-2,-1,0,1,-2,-1,0
1670,-4,-2,-4,-3,-2,-3,-2,-2,0
1675,-3,-1,-1,-1,-3,-7,-3,-6,0
1680,3,0,-2,0,-1,-2,0,2,0
1685,-4,-1,-1,-1,0,-1,2,-1,0
1690,-2,-2,-2,-1,-1,4,0,-1,0
1695,-3,2,-2,0,1,-16,-6,-2,0
1700,-2,-2,-1,-2,-1,22,4,-1,0
1705,-1,-2,-1,0,6,19,5,0,0
1710,1,-1,-2,-1,-4,-10,-4,-1,0
1715,-1,-1,-1,-1,0,18,6,1,0
1720,-1,-2,0,0,-3,-16,-7,-3,0
1725,-1,0,-2,-2,-3,-4,-3,-1,0
1730,0,0,-2,-1,-1,1,-2,-1,0
1735,-1,-1,0,-1,-1,-8,-3,0,0
1740,0,0,-1,0,0,-1,0,0,0
1745,-2,-2,1,-2,-2,-2,0,-1,0
1750,-1,-1,-2,1,-1,-5,-2,-1,0
1755,1,-1,-1,0,-2,-2,-1,-2,0
1760,-2,-1,-1,0,0,0,2,-1,0
1765,0,-2,-2,0,-2,-5,-1,-1,0
1770,-2,0,1,-3,-2,-1,-3,-1,0
1775,-1,-1,2,0,-1,4,2,-1,0
1780,1,-1,-1,-2,1,-1,0,1,0
1785,1,-3,-1,0,-3,-7,-3,-2,0
1790,-1,0,1,-2,-2,4,0,-1,0
1795,-1,-1,-2,-1,-2,3,-1,-1,0
1800,-2,-2,-3,-1,-1,-5,-3,-1,0
1805,0,-1,-3,-2,-4,-5,0,-3,0
1810,-1,-3,-1,-1,2,1,-2,0,0
1815,-1,-1,0,1,2,2,2,0,0
1820,-1,1,-1,0,-1,-4,0,-1,0
1825,-1,-2,-1,-2,-1,0,-4,0,0
1830,0,-2,-1,0,-2,0,-1,-1,0
1835,0,-2,-3,-1,-1,-2,-3,-1,0
1840,-2,-1,0,-3,0,-2,0,-2,0
1845,-1,0,1,-1,0,-4,0,-1,0
1850,-2,-2,0,1,-2,-2,-1,-1,0
1855,-2,0,-2,-2,0,-2,0,0,0
1860,0,0,0,-2,-1,-1,0,-2,0
1865,-1,-1,-2,0,-1,-1,-2,0,0
1870,0,-2,-2,-1,0,-2,-2,-2,0
1875,-1,-1,-3,-1,0,0,0,-1,0
1880,-2,-1,-2,-1,0,-1,-2,-1,0
1885,-2,0,-2,-2,-1,0,-2,-1,0
1890,-1,0,-1,-2,-1,0,1,-1,0
1895,0,0,-2,0,-3,-3,-2,-2,0
1900,0,-1,-2,-1,-1,2,-1,-1,0
1905,-1,-1,0,0,2,1,-3,0,0
1910,0,-1,0,-2,0,0,-1,0,0
1915,-2,0,0,-1,-2,-2,-2,-2,0
1920,-2,0,-1,-1,-2,-3,-3,-1,0
1925,-2,-1,-1,0,-1,-1,0,0,0
1930,-1,-1,-1,-1,1,1,0,-1,0
1935,-1,-1,0,-3,-1,0,0,0,0
1940,0,-1,-1,2,0,-1,-2,-1,0
1945,-1,-1,-1,0,-2,-2,-3,-1,0
1950,-2,-1,0,0,-2,-4,-1,-1,0
1955,-2,-2,-2,-2,-1,0,-2,-2,0
1960,-2,-2,-2,-2,0,-2,-3,-2,0
1965,0,0,-1,-2,-4,-5,-2,-1,0
1970,-1,0,0,-1,-1,4,0,1,0
1975,0,0,1,1,5,4,3,1,0
1980,0,-2,0,-2,-4,-6,0,1,0
1985,0,-1,-2,-2,0,-3,0,-2,0
1990,0,-2,-2,-1,-1,-1,0,-2,0
1995,-2,-1,-2,-2,-1,0,0,-1,0
2000,-2,-1,-2,-1,-1,-1,0,-1,0
2005,-2,0,-1,-1,-2,-3,-1,0,0
2010,-1,-2,-1,-2,-1,-3,-1,-1,0
2015,-1,-3,-1,-3,-1,-4,-4,0,0
2020,-3,-1,-1,-2,1,9,0,-1,0
2025,0,-1,-1,0,-1,-2,-1,-1,0
2030,-2,1,-2,0,0,1,-2,-1,0
2035,-1,-1,0,-2,-3,-3,0,-3,0
2040,-1,-1,0,-2,-2,-6,-1,0,0
2045,-1,-2,-1,-2,1,6,0,0,0
2050,-2,1,0,-1,0,-2,-2,-1,0
2055,-1,-1,-1,-3,-3,-2,-3,0,0
2060,-2,0,-1,-2,-3,1,0,-1,0
2065,-3,-3,-1,-1,1,-1,-2,-2,0
2070,-2,-1,-1,-2,-2,-3,-2,-2,0
2075,-1,-1,-1,-1,-1,-1,-3,-2,0
2080,-1,-1,1,-1,0,-1,-4,0,0
2085,-1,-1,-1,-1,0,-2,-2,-1,0
2090,-1,-1,-2,-2,-2,0,1,0,0
2095,-1,-1,-3,-2,-1,1,2,0,0
2100,-1,-1,-1,0,0,-2,1,-2,0
2105,0,-3,-1,-2,-1,0,1,0,0
2110,-1,-2,0,-1,-1,-1,0,-2,0
2115,-3,-2,-1,-2,-2,0,0,-1,0
2120,-1,0,0,-1,-3,-3,0,0,0
2125,-4,0,0,0,-1,-1,-3,-2,0
2130,-1,2,0,-1,-1,-1,-2,-2,0
2135,-1,-2,0,0,-1,-3,1,0,0
2140,1,-2,-2,-1,-1,0,1,0,0
2145,0,-1,-3,-3,-2,-2,0,0,0
2150,-1,-2,0,-1,-2,-1,1,0,0
2155,-1,0,-1,1,-2,-2,-1,-1,0
2160,-1,0,0,0,2,-1,0,-2,0
2165,0,-1,-1,-2,-1,-1,-2,0,0
2170,0,0,-1,-2,0,-1,-3,-3,0
2175,0,-3,0,0,-3,-3,-2,0,0
2180,-2,-2,-2,0,0,1,-1,0,0
2185,-1,-1,-1,0,-1,-1,-2,0,0
2190,-1,-2,0,-3,-2,-1,-1,0,0
2195,-1,0,-2,-1,-2,0,-1,0,0
2200,-1,-2,-1,-2,0,0,1,-2,0
2205,0,1,1,0,-1,-3,4,-2,0
2210,-2,-1,-2,0,-1,-1,0,0,0
2215,-2,-2,-2,-1,-2,-3,0,-1,0
2220,1,-1,-1,0,-1,0,-2,0,0
2225,-1,-1,0,-1,0,1,-2,-1,0
2230,0,-1,-1,-1,0,-2,-1,-1,0
2235,0,-1,-1,-2,1,-1,-1,1,0
2240,0,0,-2,-1,-2,-1,-2,0,0
2245,0,0,-2,-2,-1,1,-1,-2,0
2250,1,-1,-2,-1,0,-2,-2,-1,0
2255,-1,0,0,-1,-1,1,-3,-2,0
2260,-1,0,-2,0,-1,0,-1,-2,0
2265,-1,0,0,-1,-1,-1,0,1,0
2270,0,0,-1,0,-2,0,-1,-2,0
2275,0,-1,-1,-2,0,-2,-1,-2,0
2280,-2,-3,0,1,-1,-1,-2,0,0
2285,-1,-2,-2,-2,-1,-2,0,-2,0
2290,-2,0,-2,-2,-2,1,0,-1,0
2295,-1,-2,-1,0,-2,-1,2,0,0
2300,0,-2,-2,-3,-2,-1,0,0,0
2305,-3,-1,-2,-1,-2,1,-3,-1,0
2310,-2,-3,1,0,0,-1,-3,0,0
2315,-1,1,-1,1,0,0,-2,-2,0
2320,0,-2,-1,-2,-2,-2,-2,0,0
2325,0,-2,-2,-2,0,-1,0,-1,0
