Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
640,-2,-1,-5,-2,-8,11,1,1,0
645,-6,-5,-5,-16,-25,-9,15,-4,0
650,-3,-3,-1,0,5,-20,-45,9,0
655,1,1,-5,4,12,7,12,-3,0
660,4,2,5,0,-8,-9,-8,8,0
665,2,4,9,13,27,21,14,-13,0
670,-5,-9,-12,-13,-18,1,-2,1,0
675,-2,-3,0,-3,-8,-7,-6,-5,0
680,-2,1,-1,-2,7,-1,2,-15,0
685,10,5,3,-9,-17,-3,-28,41,0
690,1,3,3,6,6,4,38,-23,0
695,-3,-4,-1,3,0,2,0,19,0
700,9,4,0,-8,-3,6,17,13,0
705,5,3,4,13,16,14,-8,0,0
710,-13,-3,1,-5,-30,-23,-17,-14,0
715,-4,-7,-9,-3,7,12,-6,-7,0
720,-11,-4,-7,-6,6,6,14,-7,0
725,10,-2,7,-8,-13,-8,-8,14,0
730,-1,0,-1,8,10,-2,23,4,0
735,7,6,10,4,-4,4,-3,5,0
740,-14,-5,-1,-9,-24,13,12,-5,0
745,-5,2,-3,5,16,-5,18,-9,0
750,-6,-1,4,-3,-7,-7,-6,-8,0
755,7,-2,-8,-13,-25,-16,-14,1,0
760,8,3,6,12,-10,-17,11,8,0
765,-10,-7,-6,-7,-6,5,-5,-21,0
770,-10,3,9,20,56,15,-4,6,0
775,17,-1,-6,-5,-53,-40,8,8,0
780,-2,-7,-15,-10,27,26,-16,-9,0
785,-5,-3,-4,-5,-16,-4,9,-8,0
790,2,2,-8,-21,-26,10,0,-5,0
795,-2,3,9,26,37,-10,-24,13,0
800,-17,-2,2,4,-7,-24,5,-9,0
805,27,5,0,-1,-6,-3,13,14,0
810,-7,-6,-7,-10,-12,0,-2,-5,0
815,-3,1,-1,-6,-3,5,1,3,0
820,6,0,4,7,14,4,-3,4,0
825,-16,0,0,-6,-21,-13,-8,-17,0
830,1,-2,-1,1,3,2,10,1,0
835,5,3,1,5,30,30,6,2,0
840,-2,0,-1,-1,-11,-3,-3,-1,0
845,-5,-3,-4,6,33,-2,4,-2,0
850,1,2,1,-1,-11,9,3,-7,0
855,-21,-16,-17,-21,-7,-2,3,-10,0
860,7,1,0,-13,-36,-21,-11,4,0
865,-1,7,3,7,33,26,10,-3,0
870,7,-1,2,-1,-4,-3,-3,2,0
875,-12,1,-1,-4,-20,-23,0,-11,0
880,-3,-2,-2,3,21,20,-19,-11,0
885,-5,-7,-1,-7,-42,-43,-30,-14,0
890,-3,-1,-3,-6,-1,-11,7,7,0
895,3,3,8,12,28,16,2,1,0
900,0,0,0,0,2,8,3,-1,0
905,-3,1,1,9,11,-8,-1,1,0
910,-3,-4,-12,-2,26,33,5,0,0
915,-1,-6,1,11,18,-8,2,-1,0
920,9,0,4,3,-16,-1,26,9,0
925,-15,-3,-11,-14,-10,-8,-38,-9,0
930,-2,3,8,1,-27,-20,-11,-7,0
935,5,2,-4,-6,10,13,16,5,0
940,-3,1,0,-1,12,13,3,6,0
945,0,-7,2,6,1,2,11,-6,0
950,0,-8,-8,-18,-29,-11,-1,-1,0
955,-9,1,-2,-7,-11,-13,-16,-17,0
960,-3,-4,0,-3,-7,-14,-5,11,0
965,2,-2,2,-11,-20,18,-42,13,0
970,15,12,14,16,24,-1,3,-11,0
975,3,-1,2,0,1,1,4,8,0
980,2,-4,-5,11,6,5,1,17,0
985,-14,-7,-8,-14,-15,0,5,-30,0
990,-19,-22,-11,4,22,15,13,14,0
995,-8,-9,2,-1,-15,-7,-3,-12,0
1000,25,37,12,-2,8,-1,-15,-2,0
1005,-3,-6,0,1,-21,-5,-5,-11,0
1010,6,-3,-10,-9,-30,-50,-36,9,0
1015,6,3,1,13,55,96,32,12,0
1020,-15,-17,-9,-7,-7,-36,-17,-21,0
1025,8,13,9,5,-8,7,48,-2,0
1030,-1,-5,-6,-8,-14,-22,-11,4,0
1035,-11,-7,-4,-7,-14,8,12,6,0
1040,4,5,1,-9,-12,4,2,-6,0
1045,7,8,5,6,10,-7,-22,17,0
1050,-14,-12,-10,-5,-4,-13,10,-28,0
1055,4,1,4,14,25,13,20,6,0
1060,-1,-6,3,11,17,-5,-16,10,0
