Timestamp, Angle x, Angle y, Angle z, Marker
2560,-0.63432,0.664809,-2.86555,0
2580,-0.633962,0.665359,-2.86489,0
2600,-0.633248,0.665796,-2.86396,0
2620,-0.633211,0.666049,-2.86334,0
2640,-0.633069,0.665933,-2.86285,0
2660,-0.632615,0.66525,-2.8632,0
2680,-0.631371,0.664651,-2.86363,0
2700,-0.629957,0.664018,-2.86399,0
2720,-0.628635,0.663942,-2.86414,0
2730,-0.628095,0.663771,-2.86462,0
2750,-0.627843,0.663504,-2.86474,0
2770,-0.627843,0.663504,-2.86474,0
2790,-0.62817,0.66368,-2.86447,0
2810,-0.627865,0.664082,-2.86394,0
2830,-0.627029,0.664324,-2.86348,0
2850,-0.626077,0.664386,-2.86307,0
2870,-0.625083,0.664406,-2.86262,0
2890,-0.624485,0.664349,-2.86243,0
2910,-0.624485,0.664349,-2.86243,0
2930,-0.6236,0.664308,-2.86229,0
2950,-0.622465,0.664082,-2.86259,0
2970,-0.621895,0.663652,-2.86256,0
2990,-0.621895,0.663652,-2.86256,0
3010,-0.622077,0.664251,-2.86224,0
3030,-0.622043,0.66422,-2.86178,0
3050,-0.621887,0.664519,-2.86127,0
3070,-0.621711,0.664683,-2.8607,0
3090,-0.621541,0.664648,-2.86063,0
3110,-0.621541,0.664648,-2.86063,0
3130,-0.622012,0.66448,-2.86074,0
3150,-0.622012,0.66448,-2.86074,0
3170,-0.622012,0.66448,-2.86074,0
3190,-0.622012,0.66448,-2.86074,0
3210,-0.621719,0.664254,-2.86114,0
3230,-0.621426,0.664028,-2.86154,0
3250,-0.621134,0.663802,-2.86195,0
3270,-0.621134,0.663802,-2.86195,0
3290,-0.621134,0.663802,-2.86195,0
3310,-0.621134,0.663802,-2.86195,0
3330,-0.621134,0.663802,-2.86195,0
3350,-0.621154,0.663938,-2.86199,0
3370,-0.621154,0.663938,-2.86199,0
3390,-0.621304,0.663837,-2.86201,0
3410,-0.621304,0.663837,-2.86201,0
3430,-0.62165,0.664148,-2.86179,0
3450,-0.622241,0.664402,-2.86148,0
3470,-0.622683,0.664758,-2.86116,0
3490,-0.623179,0.664968,-2.86095,0
3510,-0.62337,0.665057,-2.86075,0
3530,-0.62337,0.665057,-2.86075,0
3550,-0.623411,0.665099,-2.86079,0
3570,-0.62337,0.665057,-2.86075,0
3590,-0.624193,0.665003,-2.86113,0
3610,-0.624193,0.665003,-2.86113,0
3630,-0.624949,0.665052,-2.86125,0
3650,-0.624949,0.665052,-2.86125,0
3670,-0.624949,0.665052,-2.86125,0
3690,-0.624908,0.66501,-2.8612,0
3710,-0.624908,0.66501,-2.8612,0
3730,-0.624928,0.665146,-2.86125,0
3750,-0.624868,0.66482,-2.86143,0
3770,-0.625052,0.664667,-2.86158,0
3790,-0.625029,0.664321,-2.86244,0
3810,-0.624138,0.663367,-2.86345,0
3830,-0.622122,0.662121,-2.86402,0
3850,-0.620001,0.661376,-2.86344,0
3870,-0.61919,0.66121,-2.86259,0
3900,-0.618792,0.662209,-2.86039,0
3920,-0.619206,0.662625,-2.85952,0
3940,-0.620367,0.662998,-2.85885,0
3960,-0.620941,0.663326,-2.85758,0
3980,-0.620986,0.66428,-2.85647,0
4000,-0.621357,0.665755,-2.85601,0
4020,-0.621795,0.666866,-2.85521,0
4040,-0.622189,0.667383,-2.85435,0
4060,-0.622899,0.667592,-2.85393,0
4080,-0.623379,0.667439,-2.85362,0
4100,-0.623931,0.667737,-2.8536,0
4120,-0.625071,0.668757,-2.85339,0
4140,-0.627723,0.67002,-2.85356,0
4160,-0.630341,0.671094,-2.85397,0
4180,-0.633648,0.671705,-2.85487,0
4200,-0.636783,0.671573,-2.85594,0
4220,-0.637685,0.670521,-2.8569,0
4240,-0.635437,0.668274,-2.85766,0
4260,-0.63145,0.665712,-2.85797,0
4280,-0.628659,0.663583,-2.85777,0
4300,-0.624171,0.661207,-2.85646,0
4320,-0.619633,0.658646,-2.85548,0
4340,-0.6141,0.655457,-2.85421,0
4360,-0.608038,0.651452,-2.85436,0
4380,-0.602437,0.648809,-2.85506,0
4400,-0.596214,0.64642,-2.85522,0
4420,-0.590398,0.643928,-2.85628,0
4440,-0.585807,0.641692,-2.85809,0
4460,-0.580059,0.639151,-2.8592,0
4480,-0.573361,0.635609,-2.85976,0
4500,-0.5662,0.632437,-2.8591,0
4520,-0.559728,0.630089,-2.85761,0
4540,-0.554786,0.629085,-2.85594,0
4560,-0.550922,0.630027,-2.85314,0
4580,-0.548332,0.632357,-2.84938,0
4600,-0.549176,0.634898,-2.84667,0
4620,-0.553342,0.637223,-2.845,0
4640,-0.559122,0.639231,-2.84444,0
4660,-0.563619,0.64121,-2.84377,0
4680,-0.566263,0.642913,-2.84287,0
4700,-0.567949,0.64413,-2.84175,0
4720,-0.56777,0.645194,-2.84086,0
4740,-0.567784,0.645329,-2.84091,0
4760,-0.567361,0.645268,-2.84143,0
4780,-0.567908,0.644958,-2.84276,0
4800,-0.568499,0.644189,-2.84508,0
4820,-0.569485,0.643393,-2.8478,0
