Timestamp, Rotation x, Rotation y, Rotation z, Marker
3270,0.25,0.125,-0.5625,0
3290,0.25,0.1875,-0.5,0
3310,0.3125,0.25,-0.375,0
3330,0.3125,0.3125,0,0
3350,-0.1875,0.3125,-0.0625,0
3370,-0.5625,0.4375,0,0
3390,0,0.3125,0.1875,0
3410,-0.25,0.1875,0.4375,0
3430,-1.3125,0,0.8125,0
3450,-2,0.0625,0.9375,0
3470,-2.0625,0.0625,0.6875,0
3490,-1.5625,-0.1875,0.625,0
3510,-1.3125,-0.25,0.1875,0
3530,-1,-0.25,-0.0625,0
3550,-0.5,0,-0.0625,0
3570,-1,0.3125,-0.375,0
3590,-1.25,0.375,-0.25,0
3610,-0.9375,0.25,-0.0625,0
3630,-1.4375,0,0.0625,0
3650,-0.9375,-0.0625,0.375,0
3670,-0.625,-0.4375,0.625,0
3690,0.3125,-0.3125,0.625,0
3710,0.5,-0.3125,-0.0625,0
3730,0.625,-0.4375,-1,0
3750,0.0625,-0.6875,-1.3125,0
3770,-0.75,-0.125,-1.125,0
3790,1.375,-0.25,-2.375,0
3810,5.3125,-1.625,-3.3125,0
3830,7.8125,-2.375,-2.0625,0
3850,5.375,-2.0625,0.375,0
3870,1.4375,-1.0625,1.8125,0
3900,-2.8125,0.125,3.5,0
3920,-3.5,-0.1875,1.75,0
3940,-3.5625,-1.125,1.9375,0
3960,-3,-1,3.4375,0
3980,-1.1875,0.625,4.25,0
4000,-0.6875,1.3125,3.25,0
4020,-2.3125,0.3125,2.875,0
4040,-3,-0.5,1.9375,0
4060,-3.4375,-0.4375,0.5625,0
4080,-3.0625,0.125,-0.5625,0
4100,-3.4375,1.9375,-0.4375,0
4120,-5.3125,2.8125,1.375,0
4140,-7.3125,2.875,1.375,0
4160,-6.9375,1.9375,0.125,0
4180,-7.1875,0.5625,-1.125,0
4200,-5.625,-1,-2.4375,0
4220,1.5,-3.5,-3.25,0
4240,8.6875,-5.125,-4.5625,0
4260,11.8125,-6.4375,-5.9375,0
4280,8.5625,-7,-3.6875,0
4300,10.9375,-8.5,-2.125,0
4320,12.4375,-9.25,-2.6875,0
4340,14.8125,-11.375,-3.4375,0
4360,18,-10.0625,-6.8125,0
4380,17.1875,-6.9375,-7.0625,0
4400,17.125,-5.4375,-5.0625,0
4420,17.625,-3.375,-5.875,0
4440,16.9375,-2,-5.75,0
4460,18.9375,-3,-4.5,0
4480,20.625,-4.625,-3.875,0
4500,19.375,-4.1875,-0.875,0
4520,15.875,-2.6875,2.0625,0
4540,10.75,-0.375,3.875,0
4560,5.5625,0.75,7.6875,0
4580,-0.5,1.875,9.6875,0
4600,-8.4375,2.125,7.5,0
4620,-15.6875,2.4375,5.1875,0
4640,-17.75,2.75,3.125,0
4660,-14.125,2.5,3.25,0
4680,-9.1875,1.9375,3.5625,0
4700,-7.125,1.125,3.4375,0
4720,-2.1875,1.0625,2.0625,0
4740,0.5625,0.375,-0.5,0
4760,0.75,0.375,-2.5,0
4780,-0.1875,0.6875,-4.0625,0
4800,1.4375,0.9375,-6,0
4820,1.75,1.0625,-7.1875,0
4840,2.125,0.75,-8.0625,0
4860,1.25,0.25,-8.3125,0
4880,1.8125,0.25,-5.5625,0
4900,2.75,1.125,-2.6875,0
4920,2.1875,1.125,0.375,0
4940,3.8125,0.1875,2.875,0
4960,4.0625,0.1875,3.875,0
4980,2.25,0.1875,4.625,0
5000,1.625,0.1875,4.375,0
5020,0.1875,-0.625,4.4375,0
5040,0.9375,-0.4375,4.1875,0
5060,-0.0625,0.125,3.5,0
5080,0.375,0.0625,3.25,0
5100,0.1875,0.3125,1.9375,0
5120,0.25,0.5625,0.375,0
5140,1.5625,0.625,-0.5625,0
5160,0.375,0.75,-2.5625,0
5180,0.25,0.8125,-3.375,0
5200,0.6875,1.25,-3.8125,0
5220,1.75,1.3125,-3.6875,0
5240,1.9375,1.25,-3.5,0
5260,1.8125,1.5625,-3.6875,0
5280,1,1.75,-4.6875,0
5300,2.625,1.625,-5.1875,0
5320,2.6875,1.6875,-4.8125,0
5340,0.5625,1.375,-4.125,0
5360,-0.1875,1.125,-3.125,0
5380,-2.4375,0.6875,-1.25,0
5400,-3.125,0.75,0.4375,0
5420,-3.1875,0.75,0.5,0
5440,-2,0.5,0.4375,0
5460,-1,0.0625,-0.3125,0
5480,-1.125,0.0625,-0.8125,0
5500,-0.3125,0,-1.1875,0
5520,-0.25,0.125,-1.5,0
5540,-0.5,0.25,-1.5625,0
5560,-0.6875,0.1875,-1.25,0
5580,0.25,0.1875,-0.625,0
5600,0.0625,0.625,-0.125,0
5620,-0.625,0.25,0.125,0
5640,-0.1875,0,0.3125,0
5660,1.125,-0.25,0.375,0
5680,2.125,-0.3125,0.625,0
5700,2.5,-0.125,0.1875,0
5720,1.0625,-0.4375,0.5625,0
5740,1,-0.25,0.125,0
5760,1,-0.375,0.1875,0
5790,1.4375,-0.4375,-0.0625,0
5810,2.0625,-0.4375,0,0
5830,2.1875,-0.5625,0.0625,0
5850,1.75,-0.4375,0.1875,0
5870,1.125,-0.625,0.5,0
5890,2,-0.5,0.625,0
5900,2.0625,-0.6875,0.0625,0
5920,3,-0.8125,-0.1875,0
5940,3.375,-0.9375,-0.5625,0
5960,3.5,-1.0625,-0.75,0
5980,3.5,-1.0625,-0.875,0
6000,3.875,-1.125,-0.625,0
6020,3.75,-1.1875,-0.375,0
6040,2.875,-1.25,0,0
6060,2.875,-1.75,1.125,0
6080,4.8125,-1.5,0.9375,0
6100,5.1875,-1.3125,0.4375,0
6110,3.625,-1.4375,-0.3125,0
6130,2.4375,-1.25,-0.75,0
6150,1.9375,-1.0625,-0.25,0
6170,2.125,-0.875,-0.1875,0
6190,2.6875,-1.0625,0.0625,0
6210,2.1875,-2,0,0
6230,2.1875,-1.3125,-0.625,0
6250,2,-0.9375,-0.875,0
6270,2.3125,-0.8125,-0.8125,0
6290,1.3125,-0.5,-0.6875,0
6310,0.5625,-0.5,-0.5,0
6330,0.375,-0.3125,-0.1875,0
6350,0.625,-0.125,0.0625,0
6370,0.25,-0.1875,-0.1875,0
6390,-0.1875,-0.5,-0.3125,0
6410,0.5,-0.5,-0.1875,0
6430,0.5625,-0.4375,0.3125,0
6450,0.375,-0.0625,0.625,0
6470,-1.25,0.1875,0.4375,0
6490,-2.0625,0.3125,-0.5625,0
6510,-0.5,0.1875,-1.4375,0
6530,0.25,0.1875,-1.125,0
6550,-2.5,0.1875,0.875,0
6570,-5.6875,0.125,2.125,0
6590,-4.5625,0.1875,0.9375,0
6610,-0.6875,0.125,-0.6875,0
6630,1.6875,-0.1875,-1.5,0
6650,1.0625,-0.5,-1.625,0
6670,-0.125,-0.6875,-1.5625,0
6690,-0.3125,0,-0.9375,0
6710,-1.8125,0.5,0.1875,0
6730,-2.8125,0.8125,1,0
6750,-3.3125,0.5,1.3125,0
6770,-2.3125,0.1875,0.9375,0
6790,-1.8125,-0.125,0.3125,0
6810,-1.375,-0.25,-0.4375,0
6830,-0.3125,-0.1875,-0.625,0
6850,1.75,-0.1875,-0.25,0
6870,1.375,-0.1875,0.3125,0
6890,-1.3125,-0.1875,0.375,0
6910,-2.75,-0.3125,0.25,0
6930,-1.875,0.1875,0.625,0
6950,-1.25,0.25,1.1875,0
6970,-2.1875,0.0625,1.125,0
6990,-1.75,0.1875,1.25,0
7010,-0.875,0.125,0.6875,0
7030,-1.1875,0.0625,0.1875,0
7050,-1.25,-0.1875,-0.3125,0
7070,-1.5,0.0625,-0.1875,0
7090,-1.5625,0.375,-0.125,0
7110,-1.4375,0.375,-0.1875,0
7130,-1.0625,0.1875,-0.25,0
7150,-1,0.25,0.125,0
7170,-1.5,0.375,-0.3125,0
7190,-2.1875,0.1875,-0.4375,0
7210,-1.8125,0.1875,-0.6875,0
7230,-1.1875,0.0625,-0.625,0
7250,-0.9375,-0.0625,-0.625,0
7270,-1.125,-0.5,-0.3125,0
7290,-0.1875,-0.1875,-0.625,0
7310,-0.5,-0.125,-0.5,0
7330,-1.5,0.125,-0.125,0
7350,-1.8125,0.375,0.1875,0
7370,-2.4375,0.375,0.625,0
7390,-2.1875,0.1875,0.75,0
7410,-1.5,0.1875,0.625,0
7430,-0.3125,0.25,0.5625,0
7450,-0.5,0.125,0.25,0
7470,-0.0625,-0.0625,0,0
7490,-0.1875,0.0625,-0.3125,0
7510,0.1875,0.0625,-0.125,0
7530,-0.3125,-0.1875,-0.25,0
7550,-0.25,0,-0.0625,0
7570,-0.25,-0.0625,-0.125,0
7590,-0.1875,-0.125,-0.1875,0
7610,-0.75,0,0.125,0
7630,-0.75,0.125,0.1875,0
7650,-0.8125,0.0625,0.4375,0
7670,-1.1875,0,0.6875,0
7690,-0.4375,-0.375,0.75,0
7710,0.75,-0.0625,0.375,0
7730,0,0.0625,-0.375,0
7750,-0.25,-0.5625,-0.6875,0
7770,-0.125,-0.5,-0.75,0
7790,0.6875,-0.1875,-0.25,0
7810,-0.1875,-0.0625,0,0
7830,0.875,-0.375,0,0
7850,1,-0.6875,-0.25,0
7870,1,-0.5,-0.625,0
7890,0.75,-0.125,-0.3125,0
7910,0.125,-0.0625,0.1875,0
7930,-0.8125,-0.125,0.5,0
7950,-0.875,-0.3125,0.6875,0
7970,-0.1875,0.125,1,0
7990,-0.1875,0.1875,1.1875,0
8010,-0.375,0,0.6875,0
8030,-0.5625,-0.4375,0.3125,0
8050,0.375,-0.4375,0.3125,0
8070,0.5625,-0.1875,0,0
8080,0.4375,-0.3125,-0.125,0
8100,0,-0.1875,0,0
8120,-0.6875,-0.0625,-0.25,0
8140,-0.75,-0.25,-0.1875,0
8160,-1,0.0625,-0.125,0
8180,-1.75,0.0625,0,0
8200,-1.4375,0.0625,0,0
8220,-1.25,0.0625,0.3125,0
8240,-0.6875,0.125,0.25,0
8260,-1.1875,0.125,0.125,0
8280,-1,0.0625,0.5,0
8300,-1,0,0.25,0
8320,-0.875,-0.125,0.25,0
8340,-0.875,-0.25,0.1875,0
8360,-0.5,-0.1875,0.125,0
8380,-0.875,0,-0.125,0
8400,-0.8125,-0.3125,0.1875,0
8420,-0.5625,-0.1875,0.0625,0
8440,-1.1875,0,0,0
8460,-1.875,0,-0.0625,0
8480,-1.25,0.0625,0.5,0
8500,-1.5,0.0625,0.25,0
8520,-1.75,-0.25,0.375,0
8540,-1.375,0.1875,0.5625,0
8560,-1.25,0.125,0.5625,0
8580,-0.6875,0.3125,0.4375,0
8600,-1.4375,0.625,-0.25,0
8620,-2.0625,-0.25,0,0
8640,-1.4375,0.1875,-0.25,0
8660,-1.5625,0.0625,0.1875,0
8680,-0.5,-0.0625,0.25,0
8700,-0.25,-0.25,-0.125,0
8720,-0.75,-0.3125,-0.625,0
8740,0.0625,-0.0625,-0.5,0
8760,0.125,-0.0625,-0.1875,0
8780,-1.25,-0.0625,0.125,0
8800,-1.75,0.1875,0.75,0
8820,-1.6875,-0.0625,0.9375,0
8840,-0.8125,-0.0625,1.4375,0
8860,0.375,0.3125,0.75,0
8880,0.375,-0.375,0.75,0
8900,0.4375,-0.5,0.5625,0
8920,0.1875,-0.4375,0.4375,0
8940,0.75,-0.4375,0.625,0
8960,0.875,-0.25,0.625,0
8980,0.6875,-0.3125,0.625,0
9000,0.5625,-0.5,0.625,0
9020,0.625,-0.375,0.4375,0
9040,-0.25,-0.25,0.375,0
9060,-0.625,-0.25,0.5625,0
9080,-0.8125,-0.25,0.625,0
9100,0.125,-0.25,0.875,0
9120,0.3125,-0.25,0.6875,0
9140,0.4375,-0.1875,0.75,0
9160,0,-0.3125,0.4375,0
9180,0.0625,-0.375,0.5625,0
9200,0.5,-0.3125,0.625,0
9220,0.3125,-0.25,0.5,0
9240,-0.3125,-0.1875,0.4375,0
9260,-0.3125,-0.25,0.6875,0
9280,-0.25,-0.5,1.0625,0
9300,-0.1875,-0.4375,1.375,0
9320,-0.1875,-0.5,1.6875,0
9340,-0.625,-0.3125,1.25,0
9360,-0.125,-0.375,0.9375,0
9380,0.25,-0.375,0.625,0
9400,0.0625,-0.375,0.25,0
9420,-0.25,-0.375,0.375,0
9440,0.3125,-0.25,0.5625,0
9460,1.1875,-0.25,0.5,0
9480,1.125,-0.375,0,0
9500,0.3125,-0.6875,-0.625,0
9520,-0.125,-0.4375,-0.6875,0
9540,0.1875,-0.375,0,0
9560,0.1875,-0.4375,0.3125,0
9580,0.75,-0.3125,0.25,0
9600,0.9375,-0.6875,-0.3125,0
9620,0.4375,-0.5,-0.8125,0
9640,0.8125,-0.375,-0.9375,0
9660,0.125,-0.1875,-0.625,0
9680,-0.75,-0.125,-0.3125,0
9700,-0.4375,-0.5625,-0.0625,0
9720,0.5625,-0.25,0.4375,0
9740,0.1875,-0.125,0.375,0
9760,-0.375,-0.3125,-0.0625,0
9780,-0.1875,-0.375,-0.1875,0
9800,0.75,-0.5,-0.0625,0
9820,1.125,-0.5,0,0
9840,0.6875,-0.1875,0.0625,0
9860,-0.0625,-0.125,0.0625,0
9880,-0.5625,-0.0625,0,0
9900,-0.4375,-0.3125,0,0
9920,-0.375,-0.25,-0.0625,0
9940,-0.6875,-0.1875,0,0
9960,-0.5625,-0.1875,0.125,0
9980,-0.5625,0,0.25,0
10000,-0.0625,-0.1875,0.5625,0
10020,-0.25,-0.0625,0.25,0
10040,-0.75,-0.0625,0.1875,0
10060,-0.625,-0.125,0.125,0
10080,-0.75,-0.1875,0.0625,0
10100,-0.375,-0.3125,-0.0625,0
10120,-0.25,-0.1875,-0.0625,0
10140,-0.1875,0,-0.125,0
10160,-0.4375,-0.1875,0.0625,0
10180,-0.3125,-0.125,-0.0625,0
10200,-0.75,-0.3125,-0.0625,0
10220,-1.0625,-0.25,0.125,0
10240,-0.9375,0,0.0625,0
10260,-0.875,-0.125,0.3125,0
10280,-0.75,-0.0625,0.5625,0
10300,-0.9375,-0.25,0.5625,0
10320,-0.375,0.0625,0.5,0
10340,-0.9375,0.125,-0.0625,0
10360,-1.6875,-0.1875,-0.5625,0
10370,-1.25,-0.125,-0.4375,0
10390,-1.0625,-0.1875,-0.0625,0
10410,-0.6875,0,0.1875,0
10430,-0.1875,-0.1875,0,0
10450,-0.25,-0.375,-0.5,0
10470,0.1875,-0.4375,-0.9375,0
10490,0.75,-0.25,-0.625,0
10510,-0.0625,-0.125,-0.0625,0
10530,-1.1875,0.0625,0,0
10550,-0.5625,-0.0625,0.4375,0
10570,-0.0625,0,1.1875,0
10590,-0.4375,-0.125,1.3125,0
10610,-1.375,-0.3125,0.9375,0
10630,-1.125,-0.3125,0.875,0
10650,0.375,-0.4375,0.6875,0
10670,0.875,-0.5625,0.375,0
10690,1.25,-0.5625,0.1875,0
10710,1.125,-0.5625,-0.0625,0
10730,1.0625,-0.625,-0.125,0
10750,0.625,-0.4375,-0.125,0
10770,0.375,-0.375,-0.0625,0
10790,-0.3125,-0.3125,0,0
10810,0,-0.375,0.25,0
10830,0.375,-0.1875,0.25,0
10850,0.125,-0.125,0.125,0
10870,-0.25,-0.1875,0.125,0
10890,0.125,-0.1875,0.125,0
10910,-0.125,-0.25,-0.1875,0
10930,0.3125,-0.25,-0.3125,0
10950,0.25,-0.3125,-0.375,0
10970,0.0625,-0.5,-0.25,0
10990,0.25,-0.3125,-0.125,0
11010,0.0625,-0.25,0.0625,0
11030,-0.3125,-0.1875,0.125,0
11050,-0.75,-0.1875,0.1875,0
11070,-0.875,-0.25,0.3125,0
11090,-0.25,-0.1875,0.125,0
11110,-0.125,-0.25,-0.0625,0
11130,-0.5625,-0.25,0.125,0
11150,-0.625,-0.1875,0.375,0
11170,-0.1875,-0.3125,0.4375,0
11190,0,0,0.375,0
11210,-0.6875,-0.25,-0.1875,0
11230,-1.125,-0.3125,-0.5625,0
11250,-0.1875,-0.1875,0,0
11270,-0.8125,-0.25,0.25,0
11290,-0.75,-0.3125,0.5,0
11310,-1.8125,0.1875,1.1875,0
11330,-5.1875,-0.0625,5,0
11350,-7.9375,-0.8125,9.5,0
11370,-7.3125,-1.4375,13,0
11390,-1.3125,-7.1875,16.125,0
11410,20,-15.4375,4.9375,0
11430,14.9375,-28.0625,1,0
11450,-2.8125,-44.5625,-3.6875,0
11470,-8.8125,-54.5,-18.3125,0
11480,-17.375,-66.125,-28.875,0
11500,-14.0625,-86.5,-36.4375,0
11520,-14.6875,-109,-44.375,0
11540,-9.9375,-125.75,-51.1875,0
11560,-8,-136.312,-59.0625,0
11580,-17.75,-142.438,-62.5625,0
11600,-31.375,-145.562,-61.0625,0
11620,-44.4375,-145.625,-60,0
11640,-52.1875,-143.062,-58.1875,0
11660,-56.25,-138.062,-53.0625,0
11680,-61.3125,-130.688,-49.8125,0
11700,-60.4375,-122.625,-48.5,0
11740,-71.6875,-103.812,-32.5,0
11770,-69.375,-77.5625,-34.4375,0
11790,-65.75,-65.625,-29.0625,0
11810,-68.625,-55.375,-21.0625,0
11830,-66.25,-43.875,-19.75,0
11850,-55.4375,-35.5,-24,0
11870,-47.75,-31.9375,-17.8125,0
11890,-49.0625,-29.5,-10.3125,0
11910,-49.625,-24.0625,-10.8125,0
11930,-45.5,-20.4375,-13.875,0
11950,-36.8125,-19.75,-13.5,0
11970,-30.0625,-19.75,-12.9375,0
11990,-24.0625,-16.25,-9.1875,0
12010,-22.5625,-13.6875,-4.5625,0
12030,-20.625,-11.4375,-5.5,0
12050,-19.3125,-10.625,-6.875,0
12070,-18.9375,-8.1875,-1.3125,0
12090,-22.9375,-5.75,6.25,0
12110,-26.25,-4.125,8.1875,0
12130,-22.25,-4.4375,7.75,0
12150,-22.8125,-6.375,12.4375,0
12170,-21.6875,-4.625,13.0625,0
12190,-19.4375,-2.6875,11.625,0
12210,-22.125,-3.6875,12.75,0
12230,-15.1875,-2.625,10.9375,0
12250,-8.875,0.25,8.375,0
12270,-8.5625,2.6875,8,0
12290,-8.9375,1.25,7.125,0
12310,-6.0625,1.375,8.6875,0
12330,-5.8125,4.8125,9.625,0
12350,-10.8125,6,8.375,0
12370,-12.625,2.875,5.375,0
12390,-7.5625,0.375,4.9375,0
12410,-4.625,-0.6875,6.9375,0
12430,-1.125,-2.25,7.875,0
12450,-1.1875,-4.0625,3.6875,0
12470,-2.125,-4.25,2.0625,0
12490,-1.75,-2.6875,6.0625,0
12510,-5.25,-3.375,3.8125,0
12530,-7.375,-4.6875,2.0625,0
12550,-4.6875,-3.6875,4.9375,0
12570,-1.875,-3.0625,5.3125,0
12590,2.0625,-2.4375,5,0
12610,2.4375,-1,2.8125,0
12630,0.4375,-1.3125,1.8125,0
12650,-1.6875,-1.9375,1.1875,0
12670,-1.875,-2.5625,-1.9375,0
12690,1.8125,-3,-2.125,0
12710,5.1875,-2.75,0.0625,0
12730,5.75,-2.875,-0.625,0
12750,4.6875,-2.5625,-3.3125,0
12770,5.5,-3.125,-2.625,0
12790,5,-4.3125,-2.125,0
12810,5.4375,-5.8125,-4.9375,0
12830,8.125,-8.125,-5.125,0
12850,9.6875,-8.375,-2.6875,0
12870,4.0625,-7.875,-4.5625,0
12890,4.25,-10.8125,-5.5,0
12910,3.9375,-12.125,-4.4375,0
12930,4.5,-12.1875,1.3125,0
12950,2.375,-11.375,-1.5625,0
12970,3.125,-11.5625,-4.4375,0
12990,5.375,-11.1875,-1.1875,0
13010,4.625,-12.1875,1.875,0
13030,4.9375,-10.375,-3.1875,0
13050,8.625,-9.9375,-4.5625,0
13070,8.3125,-10.125,-4.5625,0
13090,6.625,-11.8125,-6.8125,0
13110,6,-12.0625,-5.9375,0
13130,9.75,-9.1875,-4.3125,0
13150,10.0625,-7.8125,-5.375,0
13170,7.5,-8.3125,-10.0625,0
13190,9,-10.6875,-7.4375,0
13210,12.3125,-12.125,-6.4375,0
13230,14.25,-11.875,-5.0625,0
13250,13.5625,-14.375,-6.0625,0
13270,14.8125,-14.25,-7.875,0
13290,20.6875,-10.1875,-9.6875,0
13310,20,-6.625,-5.3125,0
