C1,C2,C3,C4,C5,C6,C7,C8,Marker
-4,-2,-3,-5,-4,-2,-2,-2,NAN
-3,-2,-1,2,-1,-2,-3,-1,NAN
-2,-2,-5,1,-1,0,-4,-6,NAN
-11,0,-2,14,1,1,0,1,NAN
0,-1,-2,-19,-7,-2,0,1,NAN
-5,-2,-2,-5,0,-1,0,-2,NAN
4,0,2,-1,-1,-4,-1,-2,NAN
-2,-4,-2,-2,0,-2,-2,-3,NAN
-3,-1,-1,-7,0,-1,-1,0,NAN
-7,0,-1,4,-4,-1,-3,0,NAN
-2,-3,-5,-2,-5,-6,-3,-2,NAN
-1,-1,0,-4,-3,0,-1,-2,NAN
-4,-1,0,-1,-1,1,-1,-1,NAN
2,-2,-2,-2,-1,-2,-1,-3,NAN
1,-1,2,12,4,1,-1,1,NAN
-2,-1,2,-13,-6,-5,-2,-5,NAN
-1,-1,-1,1,-5,-5,0,-1,NAN
-1,-1,-1,10,5,2,1,-2,NAN
-3,-1,-3,3,-4,-2,-1,-3,NAN
2,-2,2,-11,-3,-2,-2,-1,NAN
-4,-2,-2,4,3,0,2,2,NAN
3,0,-4,-6,-2,-1,1,0,NAN
-7,1,-2,1,-2,-1,-2,-1,NAN
1,-3,1,-12,0,-1,2,-2,NAN
1,-2,-2,-2,0,-1,-3,-3,NAN
-1,-1,-1,1,0,-1,-1,1,NAN
2,0,0,1,-2,-1,-1,0,NAN
0,-1,0,-1,-5,-4,-1,0,NAN
0,-1,-4,-16,0,1,-2,0,NAN
-2,-1,0,3,1,0,1,-3,NAN
2,0,-4,-10,-1,-2,-1,-1,NAN
-1,-1,0,6,-1,-1,-1,0,NAN
0,0,0,-4,-4,-3,0,0,NAN
1,-2,-6,-12,-2,-1,0,-1,NAN
-4,-2,2,2,-3,-1,2,-3,NAN
7,0,-3,-2,-3,-2,-2,1,NAN
0,-3,2,6,-1,-1,0,0,NAN
0,-1,-3,10,1,-2,-1,0,NAN
3,0,-1,-11,1,2,-2,-1,NAN
-3,2,-1,-4,-3,-2,0,0,NAN
1,-2,1,0,0,0,-3,-1,NAN
0,-2,1,-1,-3,0,2,-1,NAN
5,-1,-2,8,-3,-4,-2,1,NAN
-6,0,2,-11,1,2,0,-1,NAN
-1,0,-4,-12,0,-2,0,-1,NAN
-2,-2,1,3,-5,-2,-2,-3,NAN
-1,-1,-1,3,1,-1,-1,-2,NAN
1,-1,-4,-9,0,0,-1,-1,NAN
0,-1,0,8,-2,-3,-3,0,NAN
0,-2,-2,-10,-4,-1,-3,-1,NAN
-1,-1,1,1,0,0,1,-2,NAN
-1,0,-2,4,2,0,-2,0,NAN
-2,-2,2,5,0,-3,-1,-3,NAN
-6,0,-1,-10,-3,0,0,-2,NAN
-2,-1,1,6,-1,0,-3,-1,NAN
-2,-2,-2,22,3,-1,-1,-2,NAN
2,-2,-3,7,0,-2,-3,0,NAN
-1,-1,0,11,1,1,-1,-2,NAN
-1,0,0,-7,2,1,-3,-2,NAN
-3,-1,-2,-5,-8,-4,-1,0,NAN
-1,1,1,-2,-1,0,0,-1,NAN
0,-2,-2,-1,-1,0,-1,-4,NAN
-1,-1,0,1,5,1,2,1,NAN
-1,0,1,0,-3,-2,-1,-2,NAN
-2,-1,0,2,0,0,0,-4,NAN
-1,-3,-1,-2,-1,-2,0,0,NAN
-1,-1,2,7,-2,-1,-1,1,NAN
0,-1,-1,-11,1,1,-1,-1,NAN
-4,-3,-5,-1,-5,-2,-1,0,NAN
-5,-1,6,3,1,-2,-1,-3,NAN
0,-1,-2,-7,-6,-2,-1,1,NAN
-7,1,-2,-14,2,1,0,-1,NAN
2,-3,-3,3,-1,-3,-3,-2,NAN
1,-1,-1,2,3,0,1,0,NAN
-3,-2,-1,0,-8,-4,-1,-3,NAN
-5,-3,1,4,3,0,-2,-1,NAN
1,3,3,3,2,-1,0,-2,NAN
2,1,-4,-9,-6,-4,-6,0,NAN
-3,1,-1,-4,3,1,0,-2,NAN
4,-1,0,1,-6,-4,-2,-2,NAN
-2,-1,2,-2,0,-1,-2,0,NAN
-3,-1,-1,5,0,4,1,1,NAN
0,-2,-1,-1,2,-2,-1,0,NAN
0,-1,-3,-1,-2,-1,0,-1,NAN
