C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-2,1,0,0,-3,-2,0,NAN
-1,-2,0,0,0,0,0,-7,NAN
-2,-1,0,-4,-3,-3,-1,5,NAN
-1,-3,-2,2,2,0,-2,-3,NAN
-1,0,2,0,1,-1,-3,-2,NAN
-1,-2,-4,-8,-6,-5,-2,0,NAN
-1,-1,0,-1,-1,-2,-2,-2,NAN
0,-1,-3,-2,-4,2,1,0,NAN
-2,-1,0,0,3,-4,-1,2,NAN
-4,-2,1,5,-1,2,-2,-8,NAN
-2,-2,-1,-2,4,2,1,3,NAN
-2,1,0,0,2,-4,-2,1,NAN
0,-2,-3,-2,-2,4,0,-2,NAN
2,-2,-4,-8,-2,-3,-1,4,NAN
-1,-4,-1,-2,-4,-3,-3,-5,NAN
-1,1,1,5,1,2,0,1,NAN
-1,-1,0,1,3,0,0,-2,NAN
-1,-1,-2,0,-1,-2,0,2,NAN
-1,-2,0,1,0,3,-1,0,NAN
-2,-1,-2,-1,-2,-3,0,-10,NAN
1,0,-1,-3,-6,-2,0,11,NAN
-1,1,0,-1,-1,3,-1,-2,NAN
-1,-1,-4,-4,0,-3,-4,-6,NAN
-1,-3,0,-1,-2,-1,-1,1,NAN
-3,-1,-4,-3,-1,-1,-2,-4,NAN
0,0,1,2,-2,-1,0,2,NAN
-1,0,-1,0,2,2,0,-4,NAN
0,0,1,1,2,1,-1,1,NAN
-1,-4,-3,-4,-6,-4,-3,-4,NAN
0,-2,0,-1,2,-6,-3,0,NAN
-3,0,-2,-5,-5,1,-1,-4,NAN
1,0,1,1,3,3,-1,1,NAN
0,-1,-1,-1,0,-5,-1,-4,NAN
-1,-3,-3,0,-2,1,-1,1,NAN
-2,-1,-2,-6,-3,-7,-4,-1,NAN
-1,-2,1,-2,-8,1,-1,1,NAN
-2,0,-1,-2,0,1,-1,-1,NAN
-2,-1,0,2,8,4,1,-7,NAN
-2,-3,0,-2,-1,-2,-1,2,NAN
0,0,-1,0,-4,-2,-2,0,NAN
-1,-1,-2,-2,0,-1,-1,-4,NAN
-1,1,-1,3,1,1,-1,0,NAN
0,-2,0,-5,-2,-3,-1,-1,NAN
-1,-3,-3,-5,-10,-1,0,3,NAN
-1,-3,-3,-6,-4,-5,-1,1,NAN
-2,-2,1,1,1,6,2,-1,NAN
-1,0,-1,0,-2,-6,-2,0,NAN
-1,-1,-1,0,3,2,0,-1,NAN
1,-1,1,1,-2,-1,0,-2,NAN
-1,-4,-1,-3,-4,-6,-2,1,NAN
-1,0,2,2,8,7,1,-2,NAN
-3,0,1,2,-2,3,-2,-8,NAN
0,-2,-5,-6,-2,-4,-2,11,NAN
-3,-1,-4,-7,-2,-3,-1,-6,NAN
-2,0,-1,0,-3,-1,1,-1,NAN
-1,0,1,2,5,-2,-1,-5,NAN
-2,-1,4,5,2,4,1,-4,NAN
0,-2,-6,-9,-2,-5,-3,0,NAN
1,-2,0,1,-1,2,-2,-1,NAN
-3,1,-4,-3,1,-5,-2,3,NAN
-1,-3,1,-2,-8,-2,-2,-3,NAN
-1,-1,0,-1,0,-2,-1,1,NAN
-3,-1,0,-2,-5,0,-2,-2,NAN
-2,-1,1,0,2,1,-1,1,NAN
-2,-1,-1,0,2,-1,-1,-1,NAN
0,-3,-1,3,-3,-1,-2,0,NAN
-2,-2,1,5,8,5,3,1,NAN
-1,-3,-2,-9,-1,-6,-4,2,NAN
-3,0,-1,1,-5,-2,0,-1,NAN
-1,0,-4,-4,-1,-1,-1,-2,NAN
-1,0,-1,-2,-5,-3,-1,-6,NAN
0,0,1,1,2,3,0,2,NAN
1,0,-2,-2,2,2,-1,-5,NAN
-1,0,2,0,0,1,0,0,NAN
-1,-3,-1,-2,0,-3,-4,-4,NAN
0,-2,0,1,-2,2,0,-1,NAN
-2,0,-2,-3,0,-2,-3,-1,NAN
0,0,0,1,-8,1,0,-3,NAN
0,-2,-3,-5,-4,-2,-3,-1,NAN
0,-1,-1,-1,-5,-3,1,3,NAN
1,1,2,5,8,2,1,1,NAN
-3,-1,2,1,1,0,-3,-1,NAN
-1,-2,-4,-8,-9,-10,-4,-2,NAN
-1,-1,0,2,0,-2,-2,0,NAN
0,0,2,1,2,5,0,-4,NAN
-1,-1,0,4,8,5,1,1,NAN
1,0,-4,-9,-9,-9,-2,0,NAN
-2,0,-1,-1,0,-2,-1,-3,NAN
-2,-2,-2,-2,-2,-1,-1,-2,NAN
