C1,C2,C3,C4,C5,C6,C7,C8,Marker
8,32,9,-3,-2,0,-4,-3,NAN
2,-8,-8,-23,-2,3,5,4,NAN
-4,10,30,32,3,1,4,7,NAN
-6,-52,-25,-17,-4,-3,0,-2,NAN
2,5,11,14,4,2,2,1,NAN
-1,-6,-12,-11,1,-1,-4,-1,NAN
7,13,-10,-6,-3,-2,-2,-1,NAN
-7,-3,0,24,1,1,-4,-3,NAN
-5,-15,-3,-7,-1,-2,1,0,NAN
4,15,-9,1,-5,-5,-2,-2,NAN
-6,-11,-12,0,0,-1,-1,-4,NAN
3,31,-6,-1,3,1,2,2,NAN
-6,-32,-20,-18,0,-4,-2,-7,NAN
5,20,29,23,4,4,6,6,NAN
0,5,5,-4,3,-1,2,2,NAN
3,5,14,8,11,9,2,0,NAN
-1,-19,-16,7,1,0,-4,-4,NAN
0,-18,-3,-23,-37,-10,-4,-2,NAN
-6,-9,22,-2,7,6,4,2,NAN
-1,4,1,19,-3,-12,-8,-4,NAN
5,24,15,-22,-1,2,-3,-3,NAN
-14,-34,-21,-25,8,1,-3,-8,NAN
-2,-18,13,5,-6,-7,1,1,NAN
5,15,5,-6,0,1,-1,0,NAN
3,18,-13,-12,6,1,-1,0,NAN
6,20,10,15,10,4,1,2,NAN
4,1,-6,4,-1,-2,0,0,NAN
8,31,15,11,7,0,1,0,NAN
2,11,9,-7,-7,-5,-1,0,NAN
-3,-1,4,7,-6,0,0,-1,NAN
-1,1,-5,-18,-6,-2,-1,0,NAN
-4,-5,-7,-4,6,2,-1,-1,NAN
-3,1,3,-10,-6,-2,-1,0,NAN
-1,-1,1,19,0,-3,-1,0,NAN
4,17,14,2,4,3,0,1,NAN
4,-6,9,2,4,0,-1,0,NAN
0,2,1,22,-6,1,-1,0,NAN
2,8,12,-4,2,2,-1,1,NAN
-5,4,-10,22,0,-4,-2,-4,NAN
-5,-24,-6,-10,-6,-3,-2,-2,NAN
-1,1,-5,-7,1,3,1,1,NAN
-10,-31,-26,3,-2,-6,-5,-7,NAN
3,9,-1,-11,-6,-1,-2,-1,NAN
-4,-5,-6,-2,0,0,-2,-1,NAN
-1,-6,-5,1,2,-2,0,-3,NAN
-1,15,1,0,-1,-3,0,0,NAN
6,9,9,-7,0,-1,-1,4,NAN
-6,-19,-14,-5,-5,-6,-3,-4,NAN
0,-4,-2,-10,-3,-3,-4,-2,NAN
-1,0,0,3,2,2,0,-2,NAN
10,1,-4,-3,0,-1,-1,2,NAN
-6,-3,-2,-4,-3,-3,-4,-3,NAN
-3,-1,1,-3,-2,-2,0,0,NAN
3,-1,4,10,4,1,-2,0,NAN
-2,2,-4,-12,-7,1,-1,-1,NAN
-4,-2,-3,2,0,-5,-3,-3,NAN
-7,-24,0,-2,1,1,0,-2,NAN
1,7,-6,5,-1,-1,-2,0,NAN
2,16,11,3,1,2,4,2,NAN
2,8,-20,-11,-2,-6,-7,-5,NAN
-1,1,0,4,1,-2,1,-1,NAN
-2,-3,-1,-4,0,0,1,-2,NAN
-3,-7,-5,0,0,-2,-3,-3,NAN
5,-3,5,-2,-1,1,2,1,NAN
-1,4,0,8,2,-1,-3,-2,NAN
-3,2,-1,-6,-3,1,0,-1,NAN
-1,1,0,-5,-3,-3,-2,-2,NAN
0,-6,0,1,0,-1,2,2,NAN
0,0,-6,20,19,9,2,0,NAN
-3,-5,-6,-20,-3,-2,-1,-4,NAN
-7,-3,-2,-30,-36,-23,-11,-7,NAN
-2,-5,-4,-6,12,4,-1,2,NAN
-6,2,-3,-1,-7,-7,-5,0,NAN
7,-3,-3,17,24,13,5,2,NAN
3,-6,-5,6,6,5,3,-1,NAN
-3,1,3,1,-8,-4,-2,-2,NAN
-3,15,-13,-12,-4,-2,-3,-1,NAN
-4,0,2,-2,-10,-5,-2,-2,NAN
-4,-11,-5,2,4,0,-1,2,NAN
3,4,4,-1,-4,-1,-1,0,NAN
-1,-3,0,-1,0,-1,-1,-3,NAN
2,-2,1,0,-5,-2,-3,-1,NAN
0,1,-2,3,3,1,-1,1,NAN
1,-4,-3,-2,7,3,2,0,NAN
1,-2,3,-4,-7,-3,-1,-1,NAN
-8,-1,2,2,-5,-4,-1,-1,NAN
7,-4,-2,2,7,4,2,1,NAN
1,-2,4,-2,-4,2,3,0,NAN
-1,-2,4,3,6,0,2,-1,NAN
-7,0,-7,-9,-17,-19,-12,-5,NAN
-6,-1,-2,6,4,6,1,2,NAN
0,-2,-1,-4,-5,-7,-2,0,NAN
1,0,3,0,-2,6,-1,0,NAN
-1,-4,-1,7,7,8,5,3,NAN
-1,0,-3,-2,-2,-4,-1,-1,NAN
-1,-1,0,-2,2,2,-1,-2,NAN
-3,-3,4,-3,-6,-2,0,-2,NAN
0,2,2,15,4,2,0,-1,NAN
-6,-1,-5,-11,7,0,-1,-3,NAN
4,1,2,-7,-5,0,-1,-1,NAN
-6,-1,5,-6,-24,-9,-4,-4,NAN
1,-1,1,2,10,5,1,0,NAN
2,0,0,12,5,8,0,0,NAN
-3,-2,-5,-3,-1,-5,-3,-2,NAN
-2,-1,-7,-6,-2,-9,-1,-3,NAN
-3,-1,1,2,-4,0,1,0,NAN
2,0,-3,-4,-2,0,-1,0,NAN
-1,-3,2,1,1,1,-1,0,NAN
0,-4,3,6,2,-1,-1,-1,NAN
-3,0,2,-1,-1,-2,0,-1,NAN
-1,-1,-3,3,6,0,0,0,NAN
-4,-1,-5,-4,-10,-5,-5,-4,NAN
4,-1,-2,-2,2,-5,-4,0,NAN
-2,-3,-2,-4,1,1,0,-1,NAN
0,-1,0,-5,-1,1,1,-1,NAN
-5,0,1,4,-3,-1,-1,1,NAN
-1,0,-1,14,3,5,1,3,NAN
0,0,1,-30,-16,-5,-4,-2,NAN
-4,-2,-4,11,3,-1,0,-1,NAN
0,0,0,-12,5,6,1,-1,NAN
-7,-3,-4,-1,-4,-13,-3,-4,NAN
0,-2,-10,-7,2,1,-1,0,NAN
-3,0,12,17,-8,-3,0,-3,NAN
1,0,5,13,12,7,3,-1,NAN
-1,-1,-3,-3,7,-1,-1,-1,NAN
-2,-1,-1,-16,-16,-6,-4,-3,NAN
-4,0,-2,-3,3,-1,-3,-1,NAN
1,-2,-3,7,-2,-2,-1,0,NAN
-1,1,-1,-7,-5,0,-1,0,NAN
-1,-2,-1,12,9,-2,0,0,NAN
-1,-2,-2,-7,-1,-2,1,-1,NAN
-4,-2,0,-1,-8,-5,0,-3,NAN
-5,2,-1,-7,1,4,1,-2,NAN
0,-2,1,5,4,4,0,0,NAN
-2,0,-2,-2,-3,-4,-5,-1,NAN
-5,-1,-4,-9,-6,-7,-6,-3,NAN
1,-3,-2,0,2,3,2,-1,NAN
2,1,2,9,3,-2,1,1,NAN
1,-1,-1,-2,0,7,0,-1,NAN
-3,-3,-2,3,-1,-10,-3,0,NAN
-2,-1,-6,-6,-1,7,1,-1,NAN
-1,-1,0,-3,-6,-10,0,0,NAN
1,-1,-2,7,7,-5,-3,1,NAN
-4,-3,1,-3,-1,7,1,-1,NAN
2,0,-2,13,-1,-4,0,-2,NAN
0,0,6,-34,-4,-3,-6,-2,NAN
1,1,-1,12,-1,0,2,-1,NAN
0,-4,-6,5,2,-2,-1,1,NAN
-2,0,-1,-7,-1,-1,-1,0,NAN
0,-2,-5,9,3,3,0,-1,NAN
3,-2,-1,-5,-5,-1,1,-1,NAN
-6,-1,-1,0,0,1,-2,-1,NAN
-1,-3,-1,-9,-8,-9,-6,-4,NAN
1,2,-2,1,3,0,-1,2,NAN
-6,-3,-1,-8,-3,-2,-2,-1,NAN
1,1,-2,2,0,3,3,0,NAN
-1,-2,3,-2,4,8,0,1,NAN
1,-3,-1,6,-2,-2,-1,-1,NAN
-1,-2,-3,-1,-2,-4,-1,-2,NAN
-4,-1,-1,-4,-2,-4,-2,-4,NAN
-3,-3,0,0,1,0,0,1,NAN
1,-1,2,9,-3,0,1,1,NAN
2,1,-2,-7,-2,-1,-2,1,NAN
-2,0,-3,-3,1,1,1,-4,NAN
1,-2,0,-2,-1,2,1,0,NAN
1,3,-2,5,0,-1,0,0,NAN
-1,-1,-2,-7,-2,-4,-4,-4,NAN
-7,-5,-5,-5,-2,-4,-4,-2,NAN
3,3,7,8,2,0,0,0,NAN
-2,-3,-1,-5,0,2,3,-1,NAN
-6,-2,-4,-2,-3,-2,-1,0,NAN
3,0,-1,-7,-4,-5,-1,-4,NAN
-7,-3,-3,0,-2,-8,-3,-2,NAN
3,-2,-1,-1,-2,1,-2,-2,NAN
-7,-2,-1,-3,-1,2,-1,-1,NAN
1,-1,-1,5,1,1,1,-1,NAN
-2,-1,-2,-5,0,-1,0,0,NAN
0,-1,2,4,1,1,-1,-1,NAN
3,-1,-3,-5,-3,0,-2,-5,NAN
-4,0,0,3,-1,4,-1,1,NAN
0,1,-2,-5,0,-4,-2,-2,NAN
-1,-1,2,2,0,1,2,-2,NAN
2,-2,-1,1,-1,1,-1,-1,NAN
0,-1,-1,-3,-2,0,0,-4,NAN
-2,-2,0,-4,-2,-2,-2,1,NAN
-1,-2,-4,1,-1,-1,-2,1,NAN
0,-1,-1,-4,-3,-5,-2,-1,NAN
-6,-1,-1,3,-1,-3,-1,0,NAN
6,1,-2,0,5,6,-2,0,NAN
-1,-2,1,-1,1,1,1,1,NAN
2,1,1,1,1,-2,1,-4,NAN
-3,0,-4,-3,-2,3,-3,-1,NAN
-2,-4,-1,-1,2,-5,2,-1,NAN
-1,0,-2,-3,-3,-10,-5,-1,NAN
0,-1,-1,1,-3,2,1,2,NAN
-1,-1,-1,-4,3,1,3,-1,NAN
1,-2,1,-1,-2,0,2,0,NAN
-1,-4,-2,0,-4,-3,-4,-3,NAN
-1,1,-1,-3,-2,1,-2,0,NAN
-1,-1,-5,-3,0,-5,1,-1,NAN
1,-4,-1,1,-1,3,-1,-1,NAN
-3,-1,-3,1,-2,-2,0,1,NAN
0,-2,-2,-2,-2,0,0,-3,NAN
1,0,2,1,-2,1,-1,-1,NAN
