Timestamp, Rotation x, Rotation y, Rotation z, Marker
3190,0.3125,-1.6875,-0.875,0
3210,0.3125,-0.9375,-0.125,0
3230,0.9375,-0.6875,-0.4375,0
3250,1.125,-0.9375,-0.625,0
3270,0.6875,-1.1875,-0.5625,0
3290,0.5625,-1.1875,-0.625,0
3310,0.3125,-1.0625,-0.3125,0
3330,0.125,-0.9375,0.0625,0
3350,0.375,-1.125,0.1875,0
3370,-0.125,-1.5625,0.375,0
3390,-0.8125,-1.5625,0.1875,0
3410,-0.375,-1.6875,0.125,0
3430,-0.125,-1.875,0.0625,0
3450,-0.875,-1.25,-0.125,0
3470,-0.9375,-0.8125,0.125,0
3490,-0.75,-0.625,0,0
3510,-0.375,-0.8125,0.1875,0
3530,0.1875,-0.875,0.75,0
3550,0.1875,-0.8125,0.8125,0
3570,-0.6875,-0.5625,0.375,0
3590,-1.6875,-0.75,-0.125,0
3610,-2.375,-0.375,0.8125,0
3630,-2.8125,0.125,1.25,0
3650,-3.4375,0,0.6875,0
3670,-3.75,-0.1875,0.0625,0
3690,-4,-0.0625,-0.375,0
3710,-3.5,-0.25,-0.4375,0
3730,-3.5625,-0.0625,0.25,0
3750,-3.875,0.3125,0.375,0
3770,-3.6875,0.25,0.4375,0
3790,-3.5,0.375,1.1875,0
3810,-4.625,0.5625,2.4375,0
3830,-5.5625,0.875,3.375,0
3850,-8.1875,0.4375,4.3125,0
3870,-10.125,-0.375,4.8125,0
3890,-11.8125,-1.4375,4.4375,0
3910,-6.4375,-2.25,1.9375,0
3930,-0.5,-2.0625,-0.9375,0
3950,3.3125,-1.8125,-3.0625,0
3970,5.375,-1.75,-5.8125,0
3990,4.125,-1.875,-6.8125,0
4010,2.125,-1.9375,-5.875,0
4030,1.625,-1.6875,-3.8125,0
4050,1.6875,-1.4375,-1.25,0
4070,0.0625,-1,1.1875,0
4090,-2,-0.8125,2.875,0
4110,-3.75,-0.125,3,0
4130,-4.625,-0.0625,2.0625,0
4150,-4.1875,0.3125,1.5625,0
4170,-3.1875,0.1875,1.25,0
4190,-1,-0.25,1.4375,0
4210,1.25,-0.75,0.75,0
4230,3.0625,-1.25,-0.1875,0
4250,3,-1.25,-0.8125,0
4270,0.75,-0.8125,-1,0
4290,-1.625,-0.625,-0.8125,0
4310,-2.25,-0.1875,-0.3125,0
4330,-1.3125,-0.3125,0.0625,0
4350,-0.5625,-0.5625,0.0625,0
4370,0.1875,-0.8125,-0.6875,0
4390,0.625,-1,-1.1875,0
4400,0.875,-0.6875,-0.0625,0
4420,0.1875,-0.9375,1,0
4440,-0.1875,-1.125,1.4375,0
4460,-0.0625,-1.25,1.625,0
4480,0.0625,-1.1875,1.875,0
4500,-0.1875,-1,1.1875,0
4520,0.375,-0.9375,0.3125,0
4540,1.125,-0.875,-0.75,0
4560,1.875,-1.1875,-0.75,0
4580,2.25,-1.1875,-0.375,0
4600,1.5,-1.125,0.0625,0
4620,0.0625,-0.875,-0.125,0
4640,-1.0625,-0.8125,0.125,0
4660,-1.3125,-1,0.8125,0
4680,-0.875,-1.0625,0.9375,0
4700,0.3125,-1.25,0.375,0
4720,1.375,-1.0625,0,0
4740,1.25,-0.8125,0.0625,0
4760,0.1875,-0.6875,0.3125,0
4780,-1.25,-0.375,0.1875,0
4800,-2.3125,-0.375,0.125,0
4820,-0.6875,-0.6875,0.0625,0
4840,1.8125,-1.125,0.375,0
4860,6.8125,-2.375,0.4375,0
4880,8.875,-3.3125,1.0625,0
4900,10.8125,-3.3125,2.125,0
4920,11.4375,-3.75,2.6875,0
4940,13.5625,-4.625,3.1875,0
4960,15.8125,-4.9375,3.875,0
4980,16.0625,-5.125,4,0
5000,14.9375,-4.375,5.25,0
5020,9.75,-3.25,7.1875,0
5040,7.5625,-1.9375,8.0625,0
5060,3.4375,-1.125,9.875,0
5080,1.1875,-2.3125,17.9375,0
5100,16.75,-6.3125,12.8125,0
5120,15.5625,-3.25,6.6875,0
5140,11.1875,-3,6.8125,0
5160,9.625,-3.375,6.875,0
5180,8.8125,-3.625,3.25,0
5200,10.4375,-2.5,1.625,0
5220,11.25,-3.125,1.5,0
5240,9.375,-2.9375,2.8125,0
5260,3.8125,-2.0625,4.875,0
5280,1.8125,-6.25,8.25,0
5300,29.375,-8.6875,2.0625,0
5320,29.8125,-1.9375,-0.25,0
5340,17.25,-0.625,2.625,0
5360,26.9375,2.5,0,0
5380,28.6875,10.3125,-8.125,0
5400,12.5,10.5,-10.625,0
5420,6.25,3.5625,-8.8125,0
5440,11.4375,-1.6875,-10.4375,0
5460,15.1875,-7.125,-13.4375,0
5480,6.25,-10.8125,-13.8125,0
5500,-24.75,-14.5625,-5.375,0
5520,-39.0625,-24.375,9.9375,0
5540,-55.375,-43.6875,10.8125,0
5560,-76.875,-52.125,-31.625,0
5580,-75.625,-57.9375,-25.9375,0
5600,-49.9375,-69.8125,-18.4375,0
5620,-16.6875,-78.9375,-27.0625,0
5640,-3,-86.5625,-28.1875,0
5660,-12.5,-92.125,-27.125,0
5680,-26.875,-97.0625,-32.3125,0
5700,-42.125,-101.5,-35.1875,0
